ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,288.2946,279.38855,277.24533,274.1068
2022-06-01 00:10,280.48044,270.65967,267.14706,260.0635
2022-06-01 00:20,284.23328,273.76352,270.0003,261.1816
2022-06-01 00:30,292.70993,281.111,277.06274,265.4483
2022-06-01 00:40,283.94205,273.5105,269.7566,261.03204
2022-06-01 00:50,286.30725,275.5608,271.72748,262.22336
2022-06-01 01:00,282.99542,272.6899,268.96777,260.55527
2022-06-01 01:10,283.66312,273.26874,269.52417,260.89157
2022-06-01 01:20,281.2732,271.197,267.53265,259.68777
2022-06-01 01:30,280.91397,270.8856,267.2333,259.50684
2022-06-01 01:40,280.65863,270.66425,267.02054,259.37823
2022-06-01 01:50,280.19946,270.2662,266.63794,259.14697
2022-06-01 02:00,280.0385,270.12668,266.5038,259.0659
2022-06-01 02:10,279.99667,270.09042,266.46896,259.04483
2022-06-01 02:20,279.95438,270.05374,266.4337,259.0235
2022-06-01 02:30,280.03403,270.1228,266.50006,259.06363
2022-06-01 02:40,245.45992,238.2335,236.56831,234.16016
2022-06-01 02:50,280.11252,270.19086,266.5655,259.10318
2022-06-01 03:00,280.07867,270.16153,266.5373,259.08612
2022-06-01 03:10,280.19293,270.26056,266.6325,259.14368
2022-06-01 03:20,280.1437,270.2179,266.59146,259.11887
2022-06-01 03:30,280.317,270.3681,266.73587,259.20615
2022-06-01 03:40,280.12555,270.20215,266.57635,259.10974
2022-06-01 03:50,280.0733,270.15686,266.5328,259.08344
2022-06-01 04:00,280.00534,270.09796,266.4762,259.0492
2022-06-01 04:10,279.9426,270.04355,266.4239,259.01758
2022-06-01 04:20,279.92737,270.03036,266.41122,259.00992
2022-06-01 04:30,279.92673,270.02982,266.41068,259.00958
2022-06-01 04:40,279.93896,270.0404,266.42087,259.01575
2022-06-01 04:50,279.9435,270.04434,266.42465,259.01804
2022-06-01 05:00,279.96072,270.05927,266.439,259.0267
2022-06-01 05:10,279.94382,270.04462,266.4249,259.0182
2022-06-01 05:20,280.0418,270.12958,266.50656,259.06757
2022-06-01 05:30,279.9748,270.07147,266.4507,259.0338
2022-06-01 05:40,279.98688,270.08194,266.4608,259.0399
2022-06-01 05:50,279.98218,270.07785,266.45688,259.0375
2022-06-01 06:00,279.9818,270.07755,266.45657,259.03732
2022-06-01 06:10,279.97318,270.07007,266.44937,259.033
2022-06-01 06:20,279.979,270.0751,266.45422,259.03592
2022-06-01 06:30,279.9784,270.0746,266.4537,259.0356
2022-06-01 06:40,279.96738,270.06503,266.44455,259.03006
2022-06-01 06:50,279.9627,270.06097,266.44064,259.0277
2022-06-01 07:00,279.98022,270.07617,266.45526,259.03653
2022-06-01 07:10,279.96863,270.0661,266.4456,259.0307
2022-06-01 07:20,280.00034,270.0936,266.47202,259.04666
2022-06-01 07:30,279.9526,270.05222,266.43222,259.0226
2022-06-01 07:40,279.9139,270.01868,266.4,259.00314
2022-06-01 07:50,279.90457,270.0106,266.3922,258.99844
2022-06-01 08:00,279.9147,270.01938,266.40063,259.00354
2022-06-01 08:10,294.67938,285.95093,284.4511,282.6357
2022-06-01 08:20,292.47794,284.05746,282.64392,281.60373
2022-06-01 08:30,292.48352,284.06232,282.6486,281.60654
2022-06-01 08:40,296.3774,290.23596,290.54797,296.79572
2022-06-01 08:50,298.15402,293.04865,294.1453,303.70648
2022-06-01 09:00,298.16354,293.05692,294.15326,303.7113
2022-06-01 09:10,298.22168,293.1073,294.20172,303.74057
2022-06-01 09:20,323.9417,315.4029,315.63388,316.6954
2022-06-01 09:30,327.90536,318.97855,319.01947,319.6993
2022-06-01 09:40,326.74136,317.82977,317.9668,318.10553
2022-06-01 09:50,326.74207,317.82965,317.96613,318.10257
2022-06-01 10:00,344.1763,327.35522,322.67776,302.65503
2022-06-01 10:10,344.39728,327.53226,322.83276,302.7186
2022-06-01 10:20,344.39728,327.53226,322.83276,302.7186
2022-06-01 10:30,344.39728,327.53226,322.83276,302.7186
2022-06-01 10:40,344.3973,327.5323,322.83276,302.7186
2022-06-01 10:50,344.3973,327.5323,322.83276,302.7186
2022-06-01 11:00,344.39728,327.53226,322.83276,302.7186
2022-06-01 11:10,344.39728,327.53226,322.83276,302.7186
2022-06-01 11:20,344.39728,327.53226,322.83276,302.7186
2022-06-01 11:30,344.34866,327.49332,322.79868,302.70462
2022-06-01 11:40,321.0769,308.84827,306.47437,296.00735
2022-06-01 11:50,321.0708,308.84338,306.47,296.00552
2022-06-01 12:00,321.05966,308.83374,306.46075,295.9999
2022-06-01 12:10,321.02658,308.80505,306.43317,295.98325
2022-06-01 12:20,320.834,308.63812,306.2727,295.88626
2022-06-01 12:30,321.02487,308.8036,306.43176,295.9824
2022-06-01 12:40,321.0057,308.78696,306.41577,295.97275
2022-06-01 12:50,321.00763,308.78864,306.4174,295.97372
2022-06-01 13:00,320.64517,308.47443,306.11536,295.79117
2022-06-01 13:10,319.9726,307.8914,305.5549,295.45236
2022-06-01 13:20,316.85486,305.18875,302.9569,293.88202
2022-06-01 13:30,317.88702,306.0835,303.817,294.40186
2022-06-01 13:40,306.95215,296.6045,294.70505,288.894
2022-06-01 13:50,316.00052,304.44815,302.24496,293.45157
2022-06-01 14:00,297.52606,288.43347,286.85046,284.14633
2022-06-01 14:10,298.58252,289.34903,287.73038,284.67725
2022-06-01 14:20,297.75085,288.62833,287.03778,284.2596
2022-06-01 14:30,295.27713,286.48395,284.97647,283.01364
2022-06-01 14:40,293.15155,284.6414,283.20526,281.94302
2022-06-01 14:50,292.71796,284.26553,282.84396,281.72464
2022-06-01 15:00,292.77396,284.3138,282.8901,281.75143
2022-06-01 15:10,292.76196,284.29724,282.86877,281.71347
2022-06-01 15:20,292.54233,284.06464,282.6083,281.3845
2022-06-01 15:30,282.5122,272.63644,269.2355,262.201
2022-06-01 15:40,302.85483,289.9626,285.6217,270.85495
2022-06-01 15:50,296.7409,284.6054,280.42194,267.4793
2022-06-01 16:00,302.0685,289.22372,284.8615,270.16312
2022-06-01 16:10,284.0397,273.59515,269.83795,261.08127
2022-06-01 16:20,297.1621,284.9704,280.7727,267.69083
2022-06-01 16:30,283.70703,273.3068,269.56076,260.91373
2022-06-01 16:40,291.772,280.29794,276.2812,264.97586
2022-06-01 16:50,285.83206,275.1489,271.3315,261.98404
2022-06-01 17:00,287.07098,276.22287,272.36398,262.60822
2022-06-01 17:10,283.1334,272.80963,269.08295,260.62524
2022-06-01 17:20,283.1245,272.80182,269.07535,260.62033
2022-06-01 17:30,281.0932,271.04095,267.3827,259.59714
2022-06-01 17:40,281.59775,271.47833,267.8031,259.85126
2022-06-01 17:50,282.35934,272.13852,268.43774,260.23486
2022-06-01 18:00,281.4331,271.3356,267.66592,259.76834
2022-06-01 18:10,281.69455,271.56226,267.88376,259.9
2022-06-01 18:20,282.17307,271.97705,268.2825,260.14102
2022-06-01 18:30,282.28918,272.0777,268.37927,260.19952
2022-06-01 18:40,282.0962,271.9104,268.21844,260.10233
2022-06-01 18:50,281.3737,271.2841,267.6164,259.73837
2022-06-01 19:00,281.2606,271.18607,267.52216,259.68143
2022-06-01 19:10,280.32782,270.37747,266.7449,259.2116
2022-06-01 19:20,280.23074,270.29333,266.664,259.16272
2022-06-01 19:30,280.0763,270.15945,266.5353,259.08493
2022-06-01 19:40,280.07797,270.16092,266.5367,259.0858
2022-06-01 19:50,279.998,270.09158,266.47006,259.0455
2022-06-01 20:00,279.98798,270.0829,266.4617,259.04044
2022-06-01 20:10,280.03418,270.12296,266.5002,259.06372
2022-06-01 20:20,279.98087,270.07675,266.45578,259.03687
2022-06-01 20:30,279.9438,270.0446,266.42487,259.0182
2022-06-01 20:40,279.94452,270.0452,266.42548,259.01855
2022-06-01 20:50,280.01718,270.1082,266.48605,259.05515
2022-06-01 21:00,280.14493,270.2386,266.62854,259.22107
2022-06-01 21:10,286.22894,277.0247,274.4724,270.10287
2022-06-01 21:20,289.27704,280.4809,278.5056,275.8462
2022-06-01 21:30,283.07257,273.56015,270.50595,264.74738
2022-06-01 21:40,280.37234,270.4615,266.86536,259.46896
2022-06-01 21:50,285.7063,275.04752,271.24075,261.96033
2022-06-01 22:00,286.56686,274.20483,270.42554,257.72327
2022-06-01 22:10,306.8254,293.3471,288.825,272.55807
2022-06-01 22:20,308.248,294.58026,290.01044,273.2746
2022-06-01 22:30,308.37927,294.69406,290.1198,273.34073
2022-06-01 22:40,308.32474,294.6468,290.07437,273.31326
2022-06-01 22:50,308.09424,294.447,289.88232,273.19717
2022-06-01 23:00,308.0722,294.4279,289.86395,273.18607
2022-06-01 23:10,306.16202,292.77203,288.27222,272.2239
2022-06-01 23:20,301.56546,288.78748,284.44196,269.90872
2022-06-01 23:30,292.01346,280.62695,276.70203,265.71643
2022-06-01 23:40,295.39215,286.58356,285.0721,283.07095
2022-06-01 23:50,292.478,284.05753,282.64398,281.60373
2022-06-02 00:00,292.47757,284.05716,282.64365,281.60355
2022-06-02 00:10,292.47742,284.057,282.64352,281.60342
2022-06-02 00:20,292.47757,284.05713,282.6436,281.60336
2022-06-02 00:30,292.45966,284.0362,282.61874,281.56644
2022-06-02 00:40,290.44638,281.78854,280.01938,277.95493
2022-06-02 00:50,279.96957,270.08142,266.47296,259.1061
2022-06-02 01:00,298.28714,285.94565,281.71017,268.2575
2022-06-02 01:10,284.55884,274.04517,270.27057,261.3427
2022-06-02 01:20,294.45633,282.62488,278.518,266.32794
2022-06-02 01:30,284.27042,273.79517,270.0302,261.19745
2022-06-02 01:40,289.2656,278.12524,274.19263,263.71344
2022-06-02 01:50,283.84103,273.42294,269.67242,260.98117
2022-06-02 02:00,282.22882,272.0254,268.32898,260.1691
2022-06-02 02:10,281.6857,271.5546,267.8764,259.89557
2022-06-02 02:20,280.9573,270.92316,267.26944,259.5287
2022-06-02 02:30,280.26572,270.32385,266.6935,259.18137
2022-06-02 02:40,280.07767,270.16077,266.5367,259.08636
2022-06-02 02:50,280.02655,270.11642,266.49402,259.0604
2022-06-02 03:00,280.04065,270.12854,266.5056,259.06702
2022-06-02 03:10,280.06378,270.14862,266.52487,259.07864
2022-06-02 03:20,280.10974,270.18845,266.56317,259.10178
2022-06-02 03:30,280.2448,270.3055,266.67572,259.1698
2022-06-02 03:40,280.16516,270.23648,266.60934,259.1297
2022-06-02 03:50,280.70468,270.70416,267.05893,259.40143
2022-06-02 04:00,280.5591,270.57797,266.93762,259.32812
2022-06-02 04:10,280.62912,270.63867,266.99594,259.36337
2022-06-02 04:20,280.2414,270.30258,266.67288,259.1681
2022-06-02 04:30,280.22458,270.288,266.65887,259.1596
2022-06-02 04:40,280.08536,270.16733,266.54288,259.0895
2022-06-02 04:50,280.00644,270.0989,266.4771,259.04974
2022-06-02 05:00,279.9496,270.04962,266.42972,259.02112
2022-06-02 05:10,279.9589,270.05768,266.43747,259.0258
2022-06-02 05:20,279.97617,270.07266,266.45187,259.0345
2022-06-02 05:30,279.9878,270.08273,266.46155,259.04034
2022-06-02 05:40,279.9903,270.0849,266.46365,259.04163
2022-06-02 05:50,280.0175,270.1085,266.4863,259.0553
2022-06-02 06:00,280.01703,270.10806,266.48593,259.05508
2022-06-02 06:10,280.01443,270.10583,266.48376,259.05377
2022-06-02 06:20,280.0032,270.0961,266.4744,259.04813
2022-06-02 06:30,279.99765,270.09128,266.46976,259.04532
2022-06-02 06:40,280.00616,270.09866,266.47687,259.0496
2022-06-02 06:50,279.97702,270.0734,266.45258,259.0349
2022-06-02 07:00,279.96667,270.06442,266.44397,259.02972
2022-06-02 07:10,279.994,270.0881,266.46674,259.0435
2022-06-02 07:20,279.98145,270.07724,266.45627,259.03717
2022-06-02 07:30,279.99173,270.08615,266.46484,259.04233
2022-06-02 07:40,279.9618,270.06018,266.43988,259.02725
2022-06-02 07:50,279.99173,270.08615,266.46484,259.04233
2022-06-02 08:00,280.0018,270.09488,266.47324,259.0474
2022-06-02 08:10,280.00113,270.0943,266.4727,259.04706
2022-06-02 08:20,280.0047,270.09738,266.47565,259.04886
2022-06-02 08:30,280.79358,270.78125,267.13303,259.4462
2022-06-02 08:40,282.50403,272.26395,268.55832,260.30774
2022-06-02 08:50,282.66446,272.4033,268.6925,260.38992
2022-06-02 09:00,294.2096,285.55856,284.0869,282.47592
2022-06-02 09:10,292.47742,284.057,282.64352,281.6035
2022-06-02 09:20,292.48477,284.06342,282.64966,281.60715
2022-06-02 09:30,258.93268,252.85382,252.96642,256.62634
2022-06-02 09:40,297.85352,292.49896,293.41388,302.18808
2022-06-02 09:50,301.22772,295.71252,296.70566,305.25204
2022-06-02 10:00,326.1658,317.33084,317.48718,317.8156
2022-06-02 10:10,326.6873,317.75818,317.8806,317.96152
2022-06-02 10:20,326.62283,317.64258,317.72754,317.64664
2022-06-02 10:30,321.0711,308.84363,306.47028,296.00568
2022-06-02 10:40,321.07767,308.84888,306.47488,296.00757
2022-06-02 10:50,344.37747,327.51642,322.81888,302.71292
2022-06-02 11:00,344.39728,327.53226,322.83276,302.7186
2022-06-02 11:10,344.39728,327.53226,322.83276,302.7186
2022-06-02 11:20,344.39728,327.53226,322.83276,302.7186
2022-06-02 11:30,344.39728,327.53226,322.83276,302.7186
2022-06-02 11:40,344.39728,327.53226,322.83276,302.7186
2022-06-02 11:50,344.39728,327.53226,322.83276,302.7186
2022-06-02 12:00,344.37845,327.5172,322.81958,302.71317
2022-06-02 12:10,321.0711,308.84363,306.47028,296.0057
2022-06-02 12:20,321.0699,308.8426,306.46927,296.0051
2022-06-02 12:30,320.97668,308.76178,306.3916,295.95813
2022-06-02 12:40,318.27548,306.42026,304.14072,294.59756
2022-06-02 12:50,311.44476,300.49896,298.44876,291.157
2022-06-02 13:00,316.12656,304.55743,302.35004,293.51517
2022-06-02 13:10,305.62946,295.45795,293.60294,288.22794
2022-06-02 13:20,317.8412,306.04376,303.7788,294.3788
2022-06-02 13:30,307.04172,296.6822,294.77975,288.9393
2022-06-02 13:40,314.99515,303.57666,301.40726,292.9453
2022-06-02 13:50,304.71234,294.66296,292.8387,287.76602
2022-06-02 14:00,309.22797,298.56253,296.57437,289.9639
2022-06-02 14:10,294.60858,284.95917,282.68515,277.7899
2022-06-02 14:20,303.42554,290.48846,286.15445,271.3036
2022-06-02 14:30,306.72244,293.2895,288.7973,272.66992
2022-06-02 14:40,304.054,290.94806,286.52185,271.1797
2022-06-02 14:50,296.8577,284.73077,280.56357,267.6629
2022-06-02 15:00,293.6068,281.90942,277.8486,266.0085
2022-06-02 15:10,285.10696,274.52325,270.73273,261.6341
2022-06-02 15:20,286.84836,276.1115,272.3282,262.91803
2022-06-02 15:30,292.8454,283.10742,280.62274,275.23038
2022-06-02 15:40,287.73114,278.74442,276.49017,273.01804
2022-06-02 15:50,280.70447,270.9044,267.42642,260.4374
2022-06-02 16:00,282.21844,272.19894,268.65527,261.10776
