ID,Target
TEST_0000,neutral
TEST_0001,neutral
TEST_0002,neutral
TEST_0003,neutral
TEST_0004,joy
TEST_0005,neutral
TEST_0006,joy
TEST_0007,neutral
TEST_0008,neutral
TEST_0009,joy
TEST_0010,joy
TEST_0011,neutral
TEST_0012,neutral
TEST_0013,neutral
TEST_0014,neutral
TEST_0015,neutral
TEST_0016,joy
TEST_0017,joy
TEST_0018,joy
TEST_0019,joy
TEST_0020,neutral
TEST_0021,neutral
TEST_0022,neutral
TEST_0023,sadness
TEST_0024,neutral
TEST_0025,neutral
TEST_0026,neutral
TEST_0027,surprise
TEST_0028,neutral
TEST_0029,surprise
TEST_0030,neutral
TEST_0031,joy
TEST_0032,surprise
TEST_0033,sadness
TEST_0034,anger
TEST_0035,joy
TEST_0036,anger
TEST_0037,neutral
TEST_0038,neutral
TEST_0039,neutral
TEST_0040,neutral
TEST_0041,neutral
TEST_0042,neutral
TEST_0043,neutral
TEST_0044,neutral
TEST_0045,joy
TEST_0046,neutral
TEST_0047,neutral
TEST_0048,neutral
TEST_0049,surprise
TEST_0050,neutral
TEST_0051,neutral
TEST_0052,neutral
TEST_0053,neutral
TEST_0054,neutral
TEST_0055,neutral
TEST_0056,neutral
TEST_0057,neutral
TEST_0058,neutral
TEST_0059,neutral
TEST_0060,neutral
TEST_0061,neutral
TEST_0062,neutral
TEST_0063,neutral
TEST_0064,neutral
TEST_0065,neutral
TEST_0066,joy
TEST_0067,neutral
TEST_0068,neutral
TEST_0069,surprise
TEST_0070,surprise
TEST_0071,neutral
TEST_0072,neutral
TEST_0073,joy
TEST_0074,surprise
TEST_0075,neutral
TEST_0076,neutral
TEST_0077,neutral
TEST_0078,neutral
TEST_0079,joy
TEST_0080,neutral
TEST_0081,surprise
TEST_0082,neutral
TEST_0083,surprise
TEST_0084,neutral
TEST_0085,neutral
TEST_0086,neutral
TEST_0087,neutral
TEST_0088,joy
TEST_0089,neutral
TEST_0090,neutral
TEST_0091,neutral
TEST_0092,neutral
TEST_0093,surprise
TEST_0094,neutral
TEST_0095,sadness
TEST_0096,anger
TEST_0097,anger
TEST_0098,joy
TEST_0099,neutral
TEST_0100,neutral
TEST_0101,neutral
TEST_0102,neutral
TEST_0103,neutral
TEST_0104,neutral
TEST_0105,neutral
TEST_0106,neutral
TEST_0107,neutral
TEST_0108,neutral
TEST_0109,neutral
TEST_0110,neutral
TEST_0111,neutral
TEST_0112,joy
TEST_0113,neutral
TEST_0114,neutral
TEST_0115,neutral
TEST_0116,joy
TEST_0117,neutral
TEST_0118,neutral
TEST_0119,anger
TEST_0120,joy
TEST_0121,neutral
TEST_0122,joy
TEST_0123,joy
TEST_0124,joy
TEST_0125,neutral
TEST_0126,neutral
TEST_0127,surprise
TEST_0128,joy
TEST_0129,neutral
TEST_0130,joy
TEST_0131,joy
TEST_0132,joy
TEST_0133,neutral
TEST_0134,neutral
TEST_0135,joy
TEST_0136,joy
TEST_0137,anger
TEST_0138,neutral
TEST_0139,neutral
TEST_0140,neutral
TEST_0141,joy
TEST_0142,surprise
TEST_0143,neutral
TEST_0144,neutral
TEST_0145,neutral
TEST_0146,neutral
TEST_0147,neutral
TEST_0148,neutral
TEST_0149,neutral
TEST_0150,neutral
TEST_0151,surprise
TEST_0152,anger
TEST_0153,neutral
TEST_0154,joy
TEST_0155,neutral
TEST_0156,joy
TEST_0157,neutral
TEST_0158,sadness
TEST_0159,sadness
TEST_0160,neutral
TEST_0161,neutral
TEST_0162,neutral
TEST_0163,neutral
TEST_0164,fear
TEST_0165,anger
TEST_0166,neutral
TEST_0167,neutral
TEST_0168,neutral
TEST_0169,neutral
TEST_0170,neutral
TEST_0171,neutral
TEST_0172,neutral
TEST_0173,neutral
TEST_0174,joy
TEST_0175,anger
TEST_0176,neutral
TEST_0177,neutral
TEST_0178,neutral
TEST_0179,neutral
TEST_0180,neutral
TEST_0181,neutral
TEST_0182,neutral
TEST_0183,neutral
TEST_0184,neutral
TEST_0185,neutral
TEST_0186,neutral
TEST_0187,neutral
TEST_0188,neutral
TEST_0189,joy
TEST_0190,neutral
TEST_0191,joy
TEST_0192,neutral
TEST_0193,neutral
TEST_0194,neutral
TEST_0195,neutral
TEST_0196,neutral
TEST_0197,neutral
TEST_0198,neutral
TEST_0199,neutral
TEST_0200,surprise
TEST_0201,neutral
TEST_0202,neutral
TEST_0203,neutral
TEST_0204,neutral
TEST_0205,neutral
TEST_0206,neutral
TEST_0207,neutral
TEST_0208,neutral
TEST_0209,anger
TEST_0210,anger
TEST_0211,neutral
TEST_0212,joy
TEST_0213,neutral
